sample_name	sample_title	organism	isolate	collection_date	geo_loc_name	sex	tissue	age	igseq_BarcodeFwd	igseq_BarcodeRev	igseq_Chain	igseq_Type	igseq_Run	igseq_Specimen	igseq_Specimen_Subject	igseq_Specimen_Timepoint	igseq_Specimen_CellCount	igseq_Specimen_CellType
RM42056WK72GL	Rhesus macaque 42056 week 72 light chain (lambda) antibody reads from 101000 IgG+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	1	11	light	lambda	220211_M00281_0112_000000000-JVB77	RM42056WK72IGG	42056	72	101000	IgG+
RM42056WK72MH	Rhesus macaque 42056 week 72 heavy chain (mu) antibody reads from 229000 IgM+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	4	16	heavy	mu	210617_M05588_0426_000000000-JRJ2R	RM42056WK72IGM	42056	72	229000	IgM+
RM42056WK72MK	Rhesus macaque 42056 week 72 light chain (kappa) antibody reads from 229000 IgM+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	5	8	light	kappa	210611_M05588_0423_000000000-JHYVH	RM42056WK72IGM	42056	72	229000	IgM+
RM42056WK72ML	Rhesus macaque 42056 week 72 light chain (lambda) antibody reads from 229000 IgM+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	7	12	light	lambda	220211_M00281_0112_000000000-JVB77	RM42056WK72IGM	42056	72	229000	IgM+
RM42056WK72MK2	Rhesus macaque 42056 week 72 light chain (kappa) antibody reads from 229000 IgM+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	5	8	light	kappa	210625_M05588_0429_000000000-JRJCG	RM42056WK72IGM	42056	72	229000	IgM+
RM42056WK72MH2	Rhesus macaque 42056 week 72 heavy chain (mu) antibody reads from 229000 IgM+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	4	16	heavy	mu	210817_M05588_0446_000000000-JVCHG	RM42056WK72IGM	42056	72	229000	IgM+
RM41328WK72MH3	Rhesus macaque 41328 week 72 heavy chain (mu) antibody reads from 559000 IgM+ cells	Macaca mulatta	41328	missing	missing	missing	missing	missing	3	17	heavy	mu	210817_M05588_0446_000000000-JVCHG	RM41328WK72IGM	41328	72	559000	IgM+
RM44715WK120MH	Rhesus macaque 44715 week 120 heavy chain (mu) antibody reads from 162349 IgM+ cells	Macaca mulatta	44715	missing	missing	missing	missing	missing	8	17	heavy	mu	211210_M05588_0483_000000000-K44W8	RM44715WK120IGM	44715	120	162349	IgM+
RM44715WK120MH2	Rhesus macaque 44715 week 120 heavy chain (mu) antibody reads from 162349 IgM+ cells	Macaca mulatta	44715	missing	missing	missing	missing	missing	8	17	heavy	mu	211217_M05588_0485_000000000-K457G	RM44715WK120IGM	44715	120	162349	IgM+
RM44715WK120MK	Rhesus macaque 44715 week 120 light chain (kappa) antibody reads from 162349 IgM+ cells	Macaca mulatta	44715	missing	missing	missing	missing	missing	18	7	light	kappa	220621_M05588_0530_000000000-KG73G	RM44715WK120IGM	44715	120	162349	IgM+
RMV031WK32MH	Rhesus macaque V031 week 32 heavy chain (mu) antibody reads from 108312 IgM+ cells	Macaca mulatta	V031	missing	missing	missing	missing	missing	1	16	heavy	mu	220701_M05588_0534_000000000-KG7DH	RMV031WK32IGM	V031	32	108312	IgM+
RMV031WK32MK	Rhesus macaque V031 week 32 light chain (kappa) antibody reads from 108312 IgM+ cells	Macaca mulatta	V031	missing	missing	missing	missing	missing	2	7	light	kappa	220627_M00281_0154_000000000-KG82H	RMV031WK32IGM	V031	32	108312	IgM+
RMV031WK56GH	Rhesus macaque V031 week 56 heavy chain (gamma) antibody reads from 79690 IgG+ cells	Macaca mulatta	V031	missing	missing	missing	missing	missing	17	20	heavy	gamma	220701_M05588_0534_000000000-KG7DH	RMV031WK56IGG	V031	56	79690	IgG+
RMV031WK56GK	Rhesus macaque V031 week 56 light chain (kappa) antibody reads from 79690 IgG+ cells	Macaca mulatta	V031	missing	missing	missing	missing	missing	18	7	light	kappa	220627_M00281_0154_000000000-KG82H	RMV031WK56IGG	V031	56	79690	IgG+
